Tweet,unnecessary,mandatory,pharma,conspiracy,political,country,rushed,ingredients,side-effect,ineffective,religious,none
"[""They can't control the Flu with vaccine because all flu seems to have a variant of covid in it, so what makes them think they can control it?"", ""They can't control the Flu with vaccine because all flu seems to have a variant of covid in it as do most infectious diseases, so what makes them think they can control it?"", ""They can't control the Flu with vaccine because all flu seems to have a variant of covid in it, so what makes them think they can control it with a vaccine?"", ""They can't control the Flu with vaccine because all flu seems to have a variant of covid in it as do most infectious diseases, so what makes them think they can control it with a vaccine?""]",0,0,0,0,0,0,0,0,0,1,0,0
"['You can keep your vaccine if you have enough antibodies to see me through.', 'You can keep your vaccine if you have enough antibodies.', 'You can keep your vaccine if you have enough immunity to see me through.', 'You can keep your vaccine if you have enough antibodies to see me.']",1,0,0,0,0,0,0,0,0,0,0,0
"[""Government partners with Moderna to make 100M vaccine doses, but we don't know if they will work."", ""Government partners with Moderna to make 100M vaccine doses, but they don't know if they will work."", ""Government partners with Moderna to make 100M vaccine doses, but we don't know if they will work"", ""We don't know if the vaccines will work, so why are we paying Billions of dollars to Modrna?""]",0,0,1,0,0,0,0,0,0,0,0,0
"['Glaxo Smith Klein has found a vaccine that causes sterility in almost all of the animals tested.', 'Glaxo Smith Klein has found a vaccine that causes sterility in 97 percent of the animals tested.', 'A Glaxo Smith Klein employee has found a vaccine that causes sterility in almost all of the animals tested.', 'A Glaxo Smith Klein employee has found a vaccine that causes sterility in 97 percent of the animals tested.']",0,0,0,0,0,0,1,0,0,0,0,0
"[""The company's dishonest behavior in the distribution of the vaccine is more important than the reduced effectiveness of the vaccine."", ""The company's dishonest behavior in the distribution of the vaccine, if compared to others, is more important than the reduced effectiveness of the vaccine."", ""The company's dishonest behavior in the distribution of the vaccine is more important than the reduced effectiveness of the vaccine if compared to others."", ""The company's dishonest behavior in the distribution of the vaccine is more important than the reduced effectiveness of the vaccine, if compared to others.""]",0,0,1,0,0,0,0,0,0,1,0,0
"[""The son of a woman who was hospitalized after receiving Pfizer's Covid jab said that he had serious doubts about the drug's safety."", ""The son of a woman who was hospitalized after receiving a Pfizer Covid jab said that he had serious doubts about the drug's safety."", ""The son of a woman who was hospitalized after receiving Pfizer's Covid jab said he had serious doubts about the drug's safety."", ""The son of a woman who was hospitalized after receiving a Pfizer Covid jab said he had serious doubts about the drug's safety.""]",0,0,0,0,0,0,0,0,1,0,0,0
"['The rush to be first and drape everything in the flag may have led to poor and risky decision making.', 'The rush to drape everything in the flag may have led to poor and risky decision making.', 'The rush to drape everything in the flag may have led to poor decision making.', 'The rush to be first and drape everything in the flag may have led to poor decision making.']",0,0,0,0,0,0,1,0,0,1,0,0
"['There is a thread about the vaccine being pushed to front line workers in Arkansas.', 'There is a thread about the vaccine being given to front line workers in Arkansas.', 'There is a thread about the vaccine being pushed to front line workers.', ""I'm not against the vaccine, but against mandatory vaccinations.""]",0,1,0,0,0,0,0,0,0,0,0,0
"[""If the vaccine is Russian, I wouldn't take it."", ""I wouldn't take the vaccine if it was Russian."", ""I wouldn't take the vaccine if it was from Russia."", ""I wouldn't take it if the vaccine is not Russian.""]",0,0,0,0,0,1,0,0,0,0,0,0
"[""If the vaccine isn't the way out of this, what is plan B?"", ""If the vaccine isn't the way out of this, what is Plan B?"", ""If the vaccine isn't the way out of this, what is the plan B?"", ""If the vaccine doesn't offer enough protection, what is the plan B?""]",0,0,0,0,0,0,0,0,0,1,0,0
"['Democrat media suppress information about vaccine deaths.', 'Democrat media suppress information about more than 5,000 vaccine deaths.', 'The Democrat media suppress information about vaccine deaths.', 'The media suppress information about vaccine deaths.']",0,0,0,0,0,0,0,0,1,0,0,0
"['There is a dispute about the efficacy of the AZ vaccine, see here.', 'There is a debate about the efficacy of the AZ vaccine, see here.', 'The efficacy of the AZ vaccine is disputed, see here.', 'There is a debate about the efficacy of the AZ vaccine, see this video interview.']",0,0,0,0,0,0,0,1,0,0,0,0
"['The final details of that will be released within the coming week.', 'The final details of that will be released within the coming week, according to the clot.', 'The final details of that will be released within the coming week, according to the clots.', 'The final details of that will be released within the coming week, I believe we should have a no-fault compensation.']",0,0,0,0,0,0,0,0,1,0,0,0
"[""The vaccine isn't even approved for kids yet."", 'Surely you protect your kids from things that might harm them?', ""The vaccine isn't even approved for kids yet"", 'Surely you protect your kids from things that could harm them?']",0,0,0,0,0,0,1,0,0,0,0,0
